Date,Open,High,Low,Close,Adj Close,Volume
2013-02-01,13.970000,14.900000,13.160000,14.270000,12.613412,235243800
2013-03-01,14.260000,17.250000,14.260000,16.510000,14.593372,238636500
2013-04-01,16.430000,17.330000,13.940000,17.139999,15.150237,376827200
2013-05-01,17.260000,19.430000,16.680000,18.010000,15.919242,266439500
2013-06-01,18.120001,19.049999,16.940001,18.709999,16.537975,179688400
2013-07-01,18.799999,22.010000,18.299999,21.230000,18.765440,200654800
2013-08-01,21.530001,22.049999,18.530001,19.730000,17.439568,307844600
2013-09-01,20.049999,24.100000,19.570000,23.590000,20.911268,524337300
2013-10-01,23.680000,26.719999,23.629999,26.379999,23.384455,313710900
2013-11-01,26.459999,29.440001,26.049999,28.980000,25.689213,263298600
2013-12-01,29.000000,29.420000,26.400000,27.469999,24.405527,249242500
2014-01-01,27.260000,32.919998,27.260000,30.610001,27.195234,306830600
2014-02-01,30.639999,33.950001,29.120001,33.209999,29.505188,218743500
2014-03-01,32.389999,35.849998,31.900000,34.650002,30.844404,243481200
2014-04-01,34.930000,37.470001,30.540001,36.830002,32.784969,277516500
2014-05-01,37.000000,40.689999,36.560001,39.910000,35.526691,188943700
2014-06-01,40.139999,42.660000,38.040001,38.720001,34.522346,283535800
2014-07-01,39.000000,40.410000,34.770000,37.459999,33.398949,317442000
2014-08-01,37.380001,40.770000,34.590000,39.580002,35.289108,193088500
2014-09-01,39.799999,40.970001,35.180000,36.150002,32.311234,232775300
2014-10-01,35.349998,40.400002,30.120001,40.230000,35.957973,500833200
2014-11-01,40.279999,47.189999,40.230000,46.669998,41.714104,222572900
2014-12-01,46.549999,50.160000,43.900002,49.189999,44.060207,274485500
2015-01-01,49.919998,51.060001,44.470001,47.310001,42.376270,237076100
2015-02-01,47.099998,48.270000,43.349998,44.520000,39.877232,254968300
2015-03-01,44.520000,47.630001,42.599998,44.959999,40.352474,250312400
2015-04-01,43.669998,47.380001,41.020000,44.639999,40.065273,248219300
2015-05-01,44.810001,47.980000,41.720001,42.919998,38.521538,265764600
2015-06-01,43.209999,44.790001,38.970001,41.080002,36.945847,254316900
2015-07-01,41.750000,46.639999,38.810001,44.340000,39.877769,241314400
2015-08-01,44.680000,48.299999,34.610001,43.779999,39.374119,206432300
2015-09-01,43.950001,48.180000,43.299999,44.869999,40.472305,185918900
2015-10-01,44.709999,51.660000,43.349998,50.840000,45.857193,212276100
2015-11-01,50.900002,52.000000,46.369999,46.459999,41.906475,161461800
2015-12-01,46.810001,52.770000,46.580002,50.689999,45.843246,196595800
2016-01-01,49.419998,49.750000,42.419998,44.290001,40.055187,237549100
2016-02-01,44.730000,49.450001,40.029999,48.240002,43.627499,207000600
2016-03-01,48.730000,50.500000,46.009998,48.680000,44.165058,179764700
2016-04-01,47.500000,49.799999,41.220001,41.669998,37.805218,220586000
2016-05-01,42.110001,44.660000,40.639999,43.459999,39.429199,213295600
2016-06-01,43.459999,43.709999,32.599998,36.430000,33.157688,286189400
2016-07-01,36.410000,41.349998,34.080002,38.750000,35.269291,235529600
2016-08-01,38.919998,39.509998,35.840000,36.750000,33.448948,220496600
2016-09-01,37.000000,40.230000,36.320000,39.360001,36.021332,199614800
2016-10-01,39.250000,42.410000,37.910000,41.770000,38.226902,238857100
2016-11-01,41.840000,49.410000,41.549999,48.180000,44.093193,205692000
2016-12-01,47.959999,52.759998,47.590000,49.189999,45.225182,153611800
2017-01-01,49.369999,52.000000,46.570000,47.240002,43.432362,165064700
2017-02-01,47.480000,51.959999,46.480000,49.930000,45.905540,133429300
2017-03-01,50.410000,51.869999,44.470001,45.959999,42.423695,215936500
2017-04-01,45.959999,47.549999,43.810001,45.439999,41.943703,173916400
2017-05-01,45.590000,50.950001,45.400002,49.130001,45.349789,163479400
2017-06-01,49.320000,54.529999,49.299999,53.740002,49.809307,175868300
2017-07-01,54.259998,55.750000,49.259998,49.360001,45.749668,161568200
2017-08-01,49.779999,51.549999,45.000000,47.189999,43.738392,165127400
2017-09-01,47.419998,49.279999,44.590000,48.220001,44.981701,164672300
2017-10-01,48.349998,54.060001,47.900002,50.029999,46.670147,161469100
2017-11-01,50.189999,53.500000,48.330002,52.919998,49.366066,120895100
2017-12-01,52.549999,56.840000,51.759998,56.000000,52.564213,137221700
