Date,Open,High,Low,Close,Adj Close,Volume
2013-02-01,53.549999,54.990002,53.180000,54.660000,42.501125,131206400
2013-03-01,54.310001,56.939999,54.310001,56.790001,44.563187,91334800
2013-04-01,56.669998,58.400002,55.020000,55.380001,43.456772,95883200
2013-05-01,55.099998,57.099998,53.150002,53.160000,41.714729,134228600
2013-06-01,53.080002,53.419998,48.680000,49.119999,38.883064,106260900
2013-07-01,49.349998,53.980000,49.270000,53.110001,42.041531,100632200
2013-08-01,53.430000,56.500000,51.000000,51.400002,40.687904,129821100
2013-09-01,51.770000,54.250000,50.070000,50.330002,40.205379,86081900
2013-10-01,50.410000,51.139999,47.529999,49.820000,39.797966,154532000
2013-11-01,49.910000,51.619999,49.270000,50.220001,40.117516,149415500
2013-12-01,50.299999,51.380001,48.880001,51.000000,41.143326,86488300
2014-01-01,50.970001,55.790001,50.520000,54.009998,43.571590,135541200
2014-02-01,54.110001,60.119999,52.290001,59.610001,48.089294,114640900
2014-03-01,58.950001,60.099998,56.810001,58.860001,47.914955,96419000
2014-04-01,59.130001,61.150002,57.349998,59.099998,48.110329,111837100
2014-05-01,59.180000,60.490002,57.810001,59.860001,48.729012,103920800
2014-06-01,59.750000,63.380001,58.500000,62.169998,51.030273,81994100
2014-07-01,62.630001,65.699997,60.939999,61.060001,50.119160,80409400
2014-08-01,61.009998,63.590000,60.139999,63.560001,52.171215,64135700
2014-09-01,63.599998,67.139999,63.480000,64.849998,53.658478,87282200
2014-10-01,65.879997,67.430000,60.580002,66.330002,54.883080,107867600
2014-11-01,66.050003,68.669998,66.029999,68.120003,56.364174,69396600
2014-12-01,67.970001,75.099998,67.599998,68.989998,57.499290,113005400
2015-01-01,69.769997,73.470001,68.449997,72.000000,60.007950,98848100
2015-02-01,71.870003,72.000000,69.379997,70.169998,58.482746,76781500
2015-03-01,70.169998,77.459999,68.309998,72.650002,60.982185,102626900
2015-04-01,72.919998,74.019997,70.199997,71.870003,60.327435,87932800
2015-05-01,72.260002,79.550003,71.250000,78.900002,66.228416,78679400
2015-06-01,78.919998,87.239998,76.989998,83.489998,70.565895,153275700
2015-07-01,83.800003,90.180000,81.500000,84.510002,71.427994,116818400
2015-08-01,84.809998,88.949997,77.769997,82.349998,69.602379,95832600
2015-09-01,80.250000,92.849998,78.500000,83.690002,71.160843,116516500
2015-10-01,83.599998,88.480003,75.160004,81.570000,69.358238,157107900
2015-11-01,81.139999,85.500000,78.440002,82.040001,69.757874,75110200
2015-12-01,84.209999,88.160004,82.559998,84.260002,72.099739,86169600
2016-01-01,83.400002,85.400002,76.540001,79.099998,67.684441,116132500
2016-02-01,78.209999,79.160004,70.430000,72.000000,61.609100,104141400
2016-03-01,72.629997,74.949997,67.879997,72.010002,62.046780,117690200
2016-04-01,71.599998,78.500000,71.529999,75.529999,65.079781,76178000
2016-05-01,75.949997,78.709999,73.339996,75.029999,64.648933,86471000
2016-06-01,74.900002,78.809998,71.870003,78.750000,68.307381,103820000
2016-07-01,78.889999,83.589996,78.370003,82.889999,71.898407,74204300
2016-08-01,83.019997,83.790001,77.529999,77.750000,67.439995,69795200
2016-09-01,77.750000,81.459999,76.449997,80.260002,70.060738,76069900
2016-10-01,80.000000,83.239998,73.800003,73.839996,64.456581,81948700
2016-11-01,73.809998,79.699997,64.180000,67.120003,58.590542,165677600
2016-12-01,67.290001,74.489998,65.660004,73.550003,64.623856,132236600
2017-01-01,73.940002,78.120003,73.540001,77.029999,67.681534,97538800
2017-02-01,77.889999,83.480003,76.550003,82.809998,72.760048,67246200
2017-03-01,83.440002,86.139999,81.370003,84.110001,74.399620,82512500
2017-04-01,84.129997,86.720001,79.879997,82.059998,72.586288,83464000
2017-05-01,82.089996,83.110001,76.849998,79.570000,70.383759,85369500
2017-06-01,79.599998,84.760002,78.750000,82.300003,73.268654,79728400
2017-07-01,82.410004,85.529999,80.769997,82.660004,73.589157,72197500
2017-08-01,82.860001,83.150002,76.889999,81.290001,72.369499,74937400
2017-09-01,81.540001,85.610001,79.050003,85.540001,76.638809,69671900
2017-10-01,85.779999,89.089996,81.720001,81.940002,73.413445,80740900
2017-11-01,82.169998,85.480003,81.419998,84.639999,75.832451,54835400
2017-12-01,84.980003,89.089996,84.180000,84.459999,76.149078,68633000
