Date,Open,High,Low,Close,Adj Close,Volume
2013-02-01,11.290000,11.900000,11.150000,11.700000,10.695466,127153100
2013-03-01,11.660000,13.580000,11.660000,13.480000,12.322637,140992100
2013-04-01,13.470000,13.770000,12.450000,13.700000,12.534163,158625600
2013-05-01,13.710000,14.560000,13.400000,14.170000,12.964165,174503900
2013-06-01,14.180000,14.280000,12.790000,12.890000,11.793090,150874500
2013-07-01,12.960000,14.020000,12.580000,13.830000,12.688916,119536000
2013-08-01,13.910000,14.240000,12.640000,12.810000,11.753072,119007600
2013-09-01,12.970000,14.820000,12.730000,14.560000,13.396720,124606400
2013-10-01,14.580000,17.340000,14.480000,17.219999,15.844192,151855900
2013-11-01,17.260000,18.980000,17.200001,18.590000,17.104734,150545200
2013-12-01,18.620001,19.000000,17.730000,18.840000,17.334763,122877900
2014-01-01,18.850000,22.100000,18.780001,20.950001,19.317953,195636400
2014-02-01,20.980000,22.629999,20.230000,22.440001,20.691877,154461900
2014-03-01,22.150000,24.170000,21.820000,23.610001,21.770727,148114800
2014-04-01,23.730000,24.450001,22.350000,24.170000,22.327152,141600700
2014-05-01,24.170000,26.639999,23.850000,26.450001,24.433311,105610500
2014-06-01,26.480000,27.700001,25.469999,26.860001,24.812059,140138400
2014-07-01,27.180000,29.700001,25.860001,28.280001,26.183182,141101900
2014-08-01,28.209999,32.430000,27.420000,32.009998,29.636618,102522300
2014-09-01,32.080002,35.490002,32.029999,33.770000,31.327116,150320300
2014-10-01,32.970001,35.349998,28.400000,34.480000,31.985743,278877600
2014-11-01,34.549999,42.419998,34.470001,41.820000,38.794788,150416400
2014-12-01,42.240002,43.189999,38.730000,42.320000,39.258621,194291500
2015-01-01,42.689999,47.169998,38.259998,45.180000,41.971500,187090400
2015-02-01,44.939999,45.490002,42.189999,43.240002,40.169277,150687600
2015-03-01,43.240002,46.500000,42.209999,44.299999,41.153996,133228800
2015-04-01,44.070000,44.189999,40.099998,40.560001,37.730793,140859800
2015-05-01,40.830002,43.450001,35.540001,37.049999,34.465633,185917900
2015-06-01,37.110001,38.299999,33.020000,33.090000,30.781851,238159900
2015-07-01,33.860001,38.700001,31.360001,36.200001,33.743229,195239800
2015-08-01,36.660000,40.869999,32.939999,36.700001,34.209290,187803300
2015-09-01,36.169998,40.000000,36.000000,38.040001,35.524212,140448300
2015-10-01,37.820000,46.950001,37.000000,46.290001,43.228607,163756800
2015-11-01,46.470001,47.759998,44.680000,45.880001,42.845711,99988200
2015-12-01,46.000000,51.340000,42.660000,43.060001,40.212223,138908000
2016-01-01,41.700001,43.500000,35.509998,37.619999,35.185211,154041900
2016-02-01,37.619999,42.860001,33.959999,41.950001,39.234978,146456300
2016-03-01,42.220001,45.389999,39.990002,44.799999,41.900528,135668400
2016-04-01,44.400002,48.000000,43.090000,44.610001,41.797550,136926500
2016-05-01,44.630001,45.000000,40.740002,42.480000,39.801826,113038600
2016-06-01,42.480000,44.330002,36.480000,39.209999,36.737995,168318000
2016-07-01,39.259998,45.000000,37.009998,37.009998,34.760071,172794700
2016-08-01,37.160000,38.029999,35.419998,36.880001,34.637970,140716000
2016-09-01,36.880001,39.180000,36.310001,38.889999,36.625088,133946000
2016-10-01,38.849998,42.930000,36.910000,40.049999,37.717533,211849800
2016-11-01,39.980000,47.990002,39.330002,46.610001,43.895485,147977100
2016-12-01,46.360001,51.310001,46.189999,49.840000,46.937370,104655000
2017-01-01,50.400002,54.180000,48.709999,52.310001,49.368401,123704400
2017-02-01,52.549999,58.570000,52.180000,57.799999,54.549683,99933300
2017-03-01,58.470001,59.680000,51.110001,53.759998,50.736866,137616000
2017-04-01,53.720001,57.840000,52.880001,56.220001,53.150856,91115000
2017-05-01,56.520000,61.189999,56.169998,60.090000,56.809597,89185500
2017-06-01,60.180000,62.750000,57.630001,62.139999,58.747681,105488700
2017-07-01,62.520000,64.389999,53.770000,55.509998,52.588528,105937200
2017-08-01,55.880001,56.869999,50.490002,52.139999,49.395893,128363700
2017-09-01,52.349998,56.650002,49.759998,55.980000,53.157906,116273300
2017-10-01,56.020000,59.889999,53.540001,53.860001,51.144791,119151500
2017-11-01,54.029999,61.509998,52.779999,60.669998,57.611469,91032900
2017-12-01,60.509998,66.989998,59.509998,65.449997,62.150497,85218100
